,batchNum,modelClass,modelCutID_T,C_flops,S_flops
1,1,0,0,0,14021076224
1,1,0,1,88316928,13932759296
1,1,0,2,1908276480,12112799744
1,1,0,3,1908276480,12112799744
1,1,0,4,2801934080,11219142144
1,1,0,5,4587700480,9433375744
1,1,0,6,4587700480,9433375744
1,1,0,7,5448410368,8572665856
1,1,0,8,7169083648,6851992576
1,1,0,9,8889756928,5131319296
1,1,0,10,8889756928,5131319296
1,1,0,11,9687545088,4333531136
1,1,0,12,11282775296,2738300928
1,1,0,13,12878005504,1143070720
1,1,0,14,12878005504,1143070720
1,1,0,15,13217817856,803258368
1,1,0,16,13557630208,463446016
1,1,0,17,13897442560,123633664
1,1,0,18,13897442560,123633664
1,1,0,19,14000203008,20873216
1,1,0,20,14016980224,4096000
1,1,0,21,14021076224,0
1,1,0,22,14021076224,0
1,2,0,0,0,28042152448
1,2,0,1,176633856,27865518592
1,2,0,2,3816552960,24225599488
1,2,0,3,3816552960,24225599488
1,2,0,4,5603868160,22438284288
1,2,0,5,9175400960,18866751488
1,2,0,6,9175400960,18866751488
1,2,0,7,10896820736,17145331712
1,2,0,8,14338167296,13703985152
1,2,0,9,17779513856,10262638592
1,2,0,10,17779513856,10262638592
1,2,0,11,19375090176,8667062272
1,2,0,12,22565550592,5476601856
1,2,0,13,25756011008,2286141440
1,2,0,14,25756011008,2286141440
1,2,0,15,26435635712,1606516736
1,2,0,16,27115260416,926892032
1,2,0,17,27794885120,247267328
1,2,0,18,27794885120,247267328
1,2,0,19,28000406016,41746432
1,2,0,20,28033960448,8192000
1,2,0,21,28042152448,0
1,2,0,22,28042152448,0
1,3,0,0,0,42063228672
1,3,0,1,264950784,41798277888
1,3,0,2,5724829440,36338399232
1,3,0,3,5724829440,36338399232
1,3,0,4,8405802240,33657426432
1,3,0,5,13763101440,28300127232
1,3,0,6,13763101440,28300127232
1,3,0,7,16345231104,25717997568
1,3,0,8,21507250944,20555977728
1,3,0,9,26669270784,15393957888
1,3,0,10,26669270784,15393957888
1,3,0,11,29062635264,13000593408
1,3,0,12,33848325888,8214902784
1,3,0,13,38634016512,3429212160
1,3,0,14,38634016512,3429212160
1,3,0,15,39653453568,2409775104
1,3,0,16,40672890624,1390338048
1,3,0,17,41692327680,370900992
1,3,0,18,41692327680,370900992
1,3,0,19,42000609024,62619648
1,3,0,20,42050940672,12288000
1,3,0,21,42063228672,0
1,3,0,22,42063228672,0
1,4,0,0,0,56084304896
1,4,0,1,353267712,55731037184
1,4,0,2,7633105920,48451198976
1,4,0,3,7633105920,48451198976
1,4,0,4,11207736320,44876568576
1,4,0,5,18350801920,37733502976
1,4,0,6,18350801920,37733502976
1,4,0,7,21793641472,34290663424
1,4,0,8,28676334592,27407970304
1,4,0,9,35559027712,20525277184
1,4,0,10,35559027712,20525277184
1,4,0,11,38750180352,17334124544
1,4,0,12,45131101184,10953203712
1,4,0,13,51512022016,4572282880
1,4,0,14,51512022016,4572282880
1,4,0,15,52871271424,3213033472
1,4,0,16,54230520832,1853784064
1,4,0,17,55589770240,494534656
1,4,0,18,55589770240,494534656
1,4,0,19,56000812032,83492864
1,4,0,20,56067920896,16384000
1,4,0,21,56084304896,0
1,4,0,22,56084304896,0
1,5,0,0,0,70105381120
1,5,0,1,441584640,69663796480
1,5,0,2,9541382400,60563998720
1,5,0,3,9541382400,60563998720
1,5,0,4,14009670400,56095710720
1,5,0,5,22938502400,47166878720
1,5,0,6,22938502400,47166878720
1,5,0,7,27242051840,42863329280
1,5,0,8,35845418240,34259962880
1,5,0,9,44448784640,25656596480
1,5,0,10,44448784640,25656596480
1,5,0,11,48437725440,21667655680
1,5,0,12,56413876480,13691504640
1,5,0,13,64390027520,5715353600
1,5,0,14,64390027520,5715353600
1,5,0,15,66089089280,4016291840
1,5,0,16,67788151040,2317230080
1,5,0,17,69487212800,618168320
1,5,0,18,69487212800,618168320
1,5,0,19,70001015040,104366080
1,5,0,20,70084901120,20480000
1,5,0,21,70105381120,0
1,5,0,22,70105381120,0
